Polymer Concentration,Pore Size,Resistance,Rejection
0,11,20,92
0.005005005,11.0018018,19.98898899,91.998999
0.01001001,11.0036036,19.97797798,91.997998
0.015015015,11.00540541,19.96696697,91.996997
0.02002002,11.00720721,19.95595596,91.995996
0.025025025,11.00900901,19.94494494,91.99499499
0.03003003,11.01081081,19.93393393,91.99399399
0.035035035,11.01261261,19.92292292,91.99299299
0.04004004,11.01441441,19.91191191,91.99199199
0.045045045,11.01621622,19.9009009,91.99099099
0.05005005,11.01801802,19.88988989,91.98998999
0.055055055,11.01981982,19.87887888,91.98898899
0.06006006,11.02162162,19.86786787,91.98798799
0.065065065,11.02342342,19.85685686,91.98698699
0.07007007,11.02522523,19.84584585,91.98598599
0.075075075,11.02702703,19.83483483,91.98498498
0.08008008,11.02882883,19.82382382,91.98398398
0.085085085,11.03063063,19.81281281,91.98298298
0.09009009,11.03243243,19.8018018,91.98198198
0.095095095,11.03423423,19.79079079,91.98098098
0.1001001,11.03603604,19.77977978,91.97997998
0.105105105,11.03783784,19.76876877,91.97897898
0.11011011,11.03963964,19.75775776,91.97797798
0.115115115,11.04144144,19.74674675,91.97697698
0.12012012,11.04324324,19.73573574,91.97597598
0.125125125,11.04504505,19.72472472,91.97497497
0.13013013,11.04684685,19.71371371,91.97397397
0.135135135,11.04864865,19.7027027,91.97297297
0.14014014,11.05045045,19.69169169,91.97197197
0.145145145,11.05225225,19.68068068,91.97097097
0.15015015,11.05405405,19.66966967,91.96996997
0.155155155,11.05585586,19.65865866,91.96896897
0.16016016,11.05765766,19.64764765,91.96796797
0.165165165,11.05945946,19.63663664,91.96696697
0.17017017,11.06126126,19.62562563,91.96596597
0.175175175,11.06306306,19.61461461,91.96496496
0.18018018,11.06486486,19.6036036,91.96396396
0.185185185,11.06666667,19.59259259,91.96296296
0.19019019,11.06846847,19.58158158,91.96196196
0.195195195,11.07027027,19.57057057,91.96096096
0.2002002,11.07207207,19.55955956,91.95995996
0.205205205,11.07387387,19.54854855,91.95895896
0.21021021,11.07567568,19.53753754,91.95795796
