X (Polymer Concentration),Y (Pore Size),Z (Resistance),M (Rejection)
0,30,85,86.25
0.01001001,30.00750751,84.93993994,86.24774775
0.02002002,30.01501502,84.87987988,86.2454955
0.03003003,30.02252252,84.81981982,86.24324324
0.04004004,30.03003003,84.75975976,86.24099099
0.05005005,30.03753754,84.6996997,86.23873874
0.06006006,30.04504505,84.63963964,86.23648649
0.07007007,30.05255255,84.57957958,86.23423423
0.08008008,30.06006006,84.51951952,86.23198198
0.09009009,30.06756757,84.45945946,86.22972973
0.1001001,30.07507508,84.3993994,86.22747748
0.11011011,30.08258258,84.33933934,86.22522523
0.12012012,30.09009009,84.27927928,86.22297297
0.13013013,30.0975976,84.21921922,86.22072072
0.14014014,30.10510511,84.15915916,86.21846847
0.15015015,30.11261261,84.0990991,86.21621622
0.16016016,30.12012012,84.03903904,86.21396396
0.17017017,30.12762763,83.97897898,86.21171171
0.18018018,30.13513514,83.91891892,86.20945946
0.19019019,30.14264264,83.85885886,86.20720721
0.2002002,30.15015015,83.7987988,86.20495495
0.21021021,30.15765766,83.73873874,86.2027027
0.22022022,30.16516517,83.67867868,86.20045045
0.23023023,30.17267267,83.61861862,86.1981982
0.24024024,30.18018018,83.55855856,86.19594595
0.25025025,30.18768769,83.4984985,86.19369369
0.26026026,30.1951952,83.43843844,86.19144144
0.27027027,30.2027027,83.37837838,86.18918919
0.28028028,30.21021021,83.31831832,86.18693694
0.29029029,30.21771772,83.25825826,86.18468468
0.3003003,30.22522523,83.1981982,86.18243243
0.31031031,30.23273273,83.13813814,86.18018018
0.32032032,30.24024024,83.07807808,86.17792793
0.33033033,30.24774775,83.01801802,86.17567568
0.34034034,30.25525526,82.95795796,86.17342342
0.35035035,30.26276276,82.8978979,86.17117117
0.36036036,30.27027027,82.83783784,86.16891892
0.37037037,30.27777778,82.77777778,86.16666667
0.38038038,30.28528529,82.71771772,86.16441441
0.39039039,30.29279279,82.65765766,86.16216216
0.4004004,30.3003003,82.5975976,86.15990991
0.41041041,30.30780781,82.53753754,86.15765766
0.42042042,30.31531532,82.47747748,86.15540541
0.43043043,30.32282282,82.41741742,86.15315315
0.44044044,30.33033033,82.35735736,86.1509009
0.45045045,30.33783784,82.2972973,86.14864865
0.46046046,30.34534535,82.23723724,86.1463964
0.47047047,30.35285285,82.17717718,86.14414414
0.48048048,30.36036036,82.11711712,86.14189189
0.49049049,30.36786787,82.05705706,86.13963964
0.500500501,30.37537538,81.996997,86.13738739
0.510510511,30.38288288,81.93693694,86.13513514
0.520520521,30.39039039,81.87687688,86.13288288
0.530530531,30.3978979,81.81681682,86.13063063
0.540540541,30.40540541,81.75675676,86.12837838
0.550550551,30.41291291,81.6966967,86.12612613
0.560560561,30.42042042,81.63663664,86.12387387
0.570570571,30.42792793,81.57657658,86.12162162
0.580580581,30.43543544,81.51651652,86.11936937
0.590590591,30.44294294,81.45645646,86.11711712
0.600600601,30.45045045,81.3963964,86.11486486
0.610610611,30.45795796,81.33633634,86.11261261
0.620620621,30.46546547,81.27627628,86.11036036
0.630630631,30.47297297,81.21621622,86.10810811
0.640640641,30.48048048,81.15615616,86.10585586
0.650650651,30.48798799,81.0960961,86.1036036
0.660660661,30.4954955,81.03603604,86.10135135
0.670670671,30.503003,80.97597598,86.0990991
0.680680681,30.51051051,80.91591592,86.09684685
0.690690691,30.51801802,80.85585586,86.09459459
0.700700701,30.52552553,80.7957958,86.09234234
0.710710711,30.53303303,80.73573574,86.09009009
0.720720721,30.54054054,80.67567568,86.08783784
0.730730731,30.54804805,80.61561562,86.08558559
0.740740741,30.55555556,80.55555556,86.08333333
0.750750751,30.56306306,80.4954955,86.08108108
0.760760761,30.57057057,80.43543544,86.07882883
0.770770771,30.57807808,80.37537538,86.07657658
0.780780781,30.58558559,80.31531532,86.07432432
0.790790791,30.59309309,80.25525526,86.07207207
0.800800801,30.6006006,80.1951952,86.06981982
0.810810811,30.60810811,80.13513514,86.06756757
0.820820821,30.61561562,80.07507508,86.06531532
0.830830831,30.62312312,80.01501502,86.06306306
0.840840841,30.63063063,79.95495495,86.06081081
0.850850851,30.63813814,79.89489489,86.05855856
0.860860861,30.64564565,79.83483483,86.05630631
0.870870871,30.65315315,79.77477477,86.05405405
0.880880881,30.66066066,79.71471471,86.0518018
0.890890891,30.66816817,79.65465465,86.04954955
0.900900901,30.67567568,79.59459459,86.0472973
0.910910911,30.68318318,79.53453453,86.04504505
0.920920921,30.69069069,79.47447447,86.04279279
0.930930931,30.6981982,79.41441441,86.04054054
0.940940941,30.70570571,79.35435435,86.03828829
0.950950951,30.71321321,79.29429429,86.03603604
0.960960961,30.72072072,79.23423423,86.03378378
0.970970971,30.72822823,79.17417417,86.03153153
0.980980981,30.73573574,79.11411411,86.02927928
0.990990991,30.74324324,79.05405405,86.02702703
1.001001001,30.75075075,78.99399399,86.02477477
1.011011011,30.75825826,78.93393393,86.02252252
1.021021021,30.76576577,78.87387387,86.02027027
1.031031031,30.77327327,78.81381381,86.01801802
1.041041041,30.78078078,78.75375375,86.01576577
1.051051051,30.78828829,78.69369369,86.01351351
1.061061061,30.7957958,78.63363363,86.01126126
1.071071071,30.8033033,78.57357357,86.00900901
1.081081081,30.81081081,78.51351351,86.00675676
1.091091091,30.81831832,78.45345345,86.0045045
1.101101101,30.82582583,78.39339339,86.00225225
1.111111111,30.83333333,78.33333333,86
1.121121121,30.84084084,78.27327327,85.99774775
1.131131131,30.84834835,78.21321321,85.9954955
1.141141141,30.85585586,78.15315315,85.99324324
1.151151151,30.86336336,78.09309309,85.99099099
1.161161161,30.87087087,78.03303303,85.98873874
1.171171171,30.87837838,77.97297297,85.98648649
1.181181181,30.88588589,77.91291291,85.98423423
1.191191191,30.89339339,77.85285285,85.98198198
1.201201201,30.9009009,77.79279279,85.97972973
1.211211211,30.90840841,77.73273273,85.97747748
1.221221221,30.91591592,77.67267267,85.97522523
1.231231231,30.92342342,77.61261261,85.97297297
1.241241241,30.93093093,77.55255255,85.97072072
1.251251251,30.93843844,77.49249249,85.96846847
1.261261261,30.94594595,77.43243243,85.96621622
1.271271271,30.95345345,77.37237237,85.96396396
1.281281281,30.96096096,77.31231231,85.96171171
1.291291291,30.96846847,77.25225225,85.95945946
1.301301301,30.97597598,77.19219219,85.95720721
1.311311311,30.98348348,77.13213213,85.95495495
1.321321321,30.99099099,77.07207207,85.9527027
1.331331331,30.9984985,77.01201201,85.95045045
1.341341341,31.00600601,76.95195195,85.9481982
1.351351351,31.01351351,76.89189189,85.94594595
1.361361361,31.02102102,76.83183183,85.94369369
1.371371371,31.02852853,76.77177177,85.94144144
1.381381381,31.03603604,76.71171171,85.93918919
1.391391391,31.04354354,76.65165165,85.93693694
1.401401401,31.05105105,76.59159159,85.93468468
1.411411411,31.05855856,76.53153153,85.93243243
1.421421421,31.06606607,76.47147147,85.93018018
1.431431431,31.07357357,76.41141141,85.92792793
1.441441441,31.08108108,76.35135135,85.92567568
1.451451451,31.08858859,76.29129129,85.92342342
1.461461461,31.0960961,76.23123123,85.92117117
1.471471471,31.1036036,76.17117117,85.91891892
1.481481481,31.11111111,76.11111111,85.91666667
1.491491491,31.11861862,76.05105105,85.91441441
1.501501502,31.12612613,75.99099099,85.91216216
1.511511512,31.13363363,75.93093093,85.90990991
1.521521522,31.14114114,75.87087087,85.90765766
1.531531532,31.14864865,75.81081081,85.90540541
1.541541542,31.15615616,75.75075075,85.90315315
1.551551552,31.16366366,75.69069069,85.9009009
1.561561562,31.17117117,75.63063063,85.89864865
1.571571572,31.17867868,75.57057057,85.8963964
1.581581582,31.18618619,75.51051051,85.89414414
1.591591592,31.19369369,75.45045045,85.89189189
1.601601602,31.2012012,75.39039039,85.88963964
1.611611612,31.20870871,75.33033033,85.88738739
1.621621622,31.21621622,75.27027027,85.88513514
1.631631632,31.22372372,75.21021021,85.88288288
1.641641642,31.23123123,75.15015015,85.88063063
1.651651652,31.23873874,75.09009009,85.87837838
1.661661662,31.24624625,75.03003003,85.87612613
1.671671672,31.25375375,74.96996997,85.87387387
1.681681682,31.26126126,74.90990991,85.87162162
1.691691692,31.26876877,74.84984985,85.86936937
1.701701702,31.27627628,74.78978979,85.86711712
1.711711712,31.28378378,74.72972973,85.86486486
1.721721722,31.29129129,74.66966967,85.86261261
1.731731732,31.2987988,74.60960961,85.86036036
1.741741742,31.30630631,74.54954955,85.85810811
1.751751752,31.31381381,74.48948949,85.85585586
1.761761762,31.32132132,74.42942943,85.8536036
1.771771772,31.32882883,74.36936937,85.85135135
1.781781782,31.33633634,74.30930931,85.8490991
1.791791792,31.34384384,74.24924925,85.84684685
1.801801802,31.35135135,74.18918919,85.84459459
1.811811812,31.35885886,74.12912913,85.84234234
1.821821822,31.36636637,74.06906907,85.84009009
1.831831832,31.37387387,74.00900901,85.83783784
1.841841842,31.38138138,73.94894895,85.83558559
1.851851852,31.38888889,73.88888889,85.83333333
1.861861862,31.3963964,73.82882883,85.83108108
1.871871872,31.4039039,73.76876877,85.82882883
1.881881882,31.41141141,73.70870871,85.82657658
1.891891892,31.41891892,73.64864865,85.82432432
1.901901902,31.42642643,73.58858859,85.82207207
1.911911912,31.43393393,73.52852853,85.81981982
1.921921922,31.44144144,73.46846847,85.81756757
1.931931932,31.44894895,73.40840841,85.81531532
1.941941942,31.45645646,73.34834835,85.81306306
1.951951952,31.46396396,73.28828829,85.81081081
1.961961962,31.47147147,73.22822823,85.80855856
1.971971972,31.47897898,73.16816817,85.80630631
1.981981982,31.48648649,73.10810811,85.80405405
1.991991992,31.49399399,73.04804805,85.8018018
2.002002002,31.5015015,72.98798799,85.79954955
2.012012012,31.50900901,72.92792793,85.7972973
2.022022022,31.51651652,72.86786787,85.79504505
2.032032032,31.52402402,72.80780781,85.79279279
2.042042042,31.53153153,72.74774775,85.79054054
2.052052052,31.53903904,72.68768769,85.78828829
2.062062062,31.54654655,72.62762763,85.78603604
2.072072072,31.55405405,72.56756757,85.78378378
2.082082082,31.56156156,72.50750751,85.78153153
2.092092092,31.56906907,72.44744745,85.77927928
2.102102102,31.57657658,72.38738739,85.77702703
2.112112112,31.58408408,72.32732733,85.77477477
2.122122122,31.59159159,72.26726727,85.77252252
2.132132132,31.5990991,72.20720721,85.77027027
2.142142142,31.60660661,72.14714715,85.76801802
2.152152152,31.61411411,72.08708709,85.76576577
2.162162162,31.62162162,72.02702703,85.76351351
2.172172172,31.62912913,71.96696697,85.76126126
2.182182182,31.63663664,71.90690691,85.75900901
2.192192192,31.64414414,71.84684685,85.75675676
2.202202202,31.65165165,71.78678679,85.7545045
2.212212212,31.65915916,71.72672673,85.75225225
2.222222222,31.66666667,71.66666667,85.75
2.232232232,31.67417417,71.60660661,85.74774775
2.242242242,31.68168168,71.54654655,85.7454955
2.252252252,31.68918919,71.48648649,85.74324324
2.262262262,31.6966967,71.42642643,85.74099099
2.272272272,31.7042042,71.36636637,85.73873874
2.282282282,31.71171171,71.30630631,85.73648649
2.292292292,31.71921922,71.24624625,85.73423423
2.302302302,31.72672673,71.18618619,85.73198198
2.312312312,31.73423423,71.12612613,85.72972973
2.322322322,31.74174174,71.06606607,85.72747748
2.332332332,31.74924925,71.00600601,85.72522523
2.342342342,31.75675676,70.94594595,85.72297297
2.352352352,31.76426426,70.88588589,85.72072072
2.362362362,31.77177177,70.82582583,85.71846847
2.372372372,31.77927928,70.76576577,85.71621622
2.382382382,31.78678679,70.70570571,85.71396396
2.392392392,31.79429429,70.64564565,85.71171171
2.402402402,31.8018018,70.58558559,85.70945946
2.412412412,31.80930931,70.52552553,85.70720721
2.422422422,31.81681682,70.46546547,85.70495495
2.432432432,31.82432432,70.40540541,85.7027027
2.442442442,31.83183183,70.34534535,85.70045045
2.452452452,31.83933934,70.28528529,85.6981982
2.462462462,31.84684685,70.22522523,85.69594595
2.472472472,31.85435435,70.16516517,85.69369369
2.482482482,31.86186186,70.10510511,85.69144144
2.492492492,31.86936937,70.04504505,85.68918919
2.502502503,31.87687688,69.98498498,85.68693694
2.512512513,31.88438438,69.92492492,85.68468468
2.522522523,31.89189189,69.86486486,85.68243243
2.532532533,31.8993994,69.8048048,85.68018018
2.542542543,31.90690691,69.74474474,85.67792793
2.552552553,31.91441441,69.68468468,85.67567568
2.562562563,31.92192192,69.62462462,85.67342342
2.572572573,31.92942943,69.56456456,85.67117117
2.582582583,31.93693694,69.5045045,85.66891892
2.592592593,31.94444444,69.44444444,85.66666667
2.602602603,31.95195195,69.38438438,85.66441441
2.612612613,31.95945946,69.32432432,85.66216216
2.622622623,31.96696697,69.26426426,85.65990991
2.632632633,31.97447447,69.2042042,85.65765766
2.642642643,31.98198198,69.14414414,85.65540541
2.652652653,31.98948949,69.08408408,85.65315315
2.662662663,31.996997,69.02402402,85.6509009
2.672672673,32.0045045,68.96396396,85.64864865
2.682682683,32.01201201,68.9039039,85.6463964
2.692692693,32.01951952,68.84384384,85.64414414
2.702702703,32.02702703,68.78378378,85.64189189
2.712712713,32.03453453,68.72372372,85.63963964
2.722722723,32.04204204,68.66366366,85.63738739
2.732732733,32.04954955,68.6036036,85.63513514
2.742742743,32.05705706,68.54354354,85.63288288
2.752752753,32.06456456,68.48348348,85.63063063
2.762762763,32.07207207,68.42342342,85.62837838
2.772772773,32.07957958,68.36336336,85.62612613
2.782782783,32.08708709,68.3033033,85.62387387
2.792792793,32.09459459,68.24324324,85.62162162
2.802802803,32.1021021,68.18318318,85.61936937
2.812812813,32.10960961,68.12312312,85.61711712
2.822822823,32.11711712,68.06306306,85.61486486
2.832832833,32.12462462,68.003003,85.61261261
2.842842843,32.13213213,67.94294294,85.61036036
2.852852853,32.13963964,67.88288288,85.60810811
