Polymer Concentration,Pore Size,Resistance,Rejection,Flux
0.000001,11.5,19.9,92,14.6
0.005005005,11.5008008,19.88928929,91.998999,14.6011011
0.01001001,11.5016016,19.87857858,91.997998,14.6022022
0.015015015,11.5024024,19.86786787,91.996997,14.6033033
0.02002002,11.5032032,19.85715716,91.995996,14.6044044
0.025025025,11.504004,19.84644645,91.99499499,14.60550551
0.03003003,11.5048048,19.83573574,91.99399399,14.60660661
0.035035035,11.50560561,19.82502503,91.99299299,14.60770771
0.04004004,11.50640641,19.81431431,91.99199199,14.60880881
0.045045045,11.50720721,19.8036036,91.99099099,14.60990991
0.05005005,11.50800801,19.79289289,91.98998999,14.61101101
0.055055055,11.50880881,19.78218218,91.98898899,14.61211211
0.06006006,11.50960961,19.77147147,91.98798799,14.61321321
0.065065065,11.51041041,19.76076076,91.98698699,14.61431431
0.07007007,11.51121121,19.75005005,91.98598599,14.61541542
0.075075075,11.51201201,19.73933934,91.98498498,14.61651652
0.08008008,11.51281281,19.72862863,91.98398398,14.61761762
0.085085085,11.51361361,19.71791792,91.98298298,14.61871872
0.09009009,11.51441441,19.70720721,91.98198198,14.61981982
0.095095095,11.51521522,19.6964965,91.98098098,14.62092092
0.1001001,11.51601602,19.68578579,91.97997998,14.62202202
0.105105105,11.51681682,19.67507508,91.97897898,14.62312312
0.11011011,11.51761762,19.66436436,91.97797798,14.62422422
0.115115115,11.51841842,19.65365365,91.97697698,14.62532533
0.12012012,11.51921922,19.64294294,91.97597598,14.62642643
0.125125125,11.52002002,19.63223223,91.97497497,14.62752753
0.13013013,11.52082082,19.62152152,91.97397397,14.62862863
0.135135135,11.52162162,19.61081081,91.97297297,14.62972973
0.14014014,11.52242242,19.6001001,91.97197197,14.63083083
0.145145145,11.52322322,19.58938939,91.97097097,14.63193193
0.15015015,11.52402402,19.57867868,91.96996997,14.63303303
0.155155155,11.52482482,19.56796797,91.96896897,14.63413413
0.16016016,11.52562563,19.55725726,91.96796797,14.63523524
0.165165165,11.52642643,19.54654655,91.96696697,14.63633634
0.17017017,11.52722723,19.53583584,91.96596597,14.63743744
0.175175175,11.52802803,19.52512513,91.96496496,14.63853854
0.18018018,11.52882883,19.51441441,91.96396396,14.63963964
0.185185185,11.52962963,19.5037037,91.96296296,14.64074074
0.19019019,11.53043043,19.49299299,91.96196196,14.64184184
0.195195195,11.53123123,19.48228228,91.96096096,14.64294294
0.2002002,11.53203203,19.47157157,91.95995996,14.64404404
0.205205205,11.53283283,19.46086086,91.95895896,14.64514515
0.21021021,11.53363363,19.45015015,91.95795796,14.64624625
