Polymer Concentration,Pore Size,Resistance,Rejection
0,26,21.65,94.5
0.01001001,26.00900901,21.63770771,94.4984985
0.02002002,26.01801802,21.62541542,94.496997
0.03003003,26.02702703,21.61312312,94.4954955
0.04004004,26.03603604,21.60083083,94.49399399
0.05005005,26.04504505,21.58853854,94.49249249
0.06006006,26.05405405,21.57624625,94.49099099
0.07007007,26.06306306,21.56395395,94.48948949
0.08008008,26.07207207,21.55166166,94.48798799
0.09009009,26.08108108,21.53936937,94.48648649
0.1001001,26.09009009,21.52707708,94.48498498
0.11011011,26.0990991,21.51478478,94.48348348
0.12012012,26.10810811,21.50249249,94.48198198
0.13013013,26.11711712,21.4902002,94.48048048
0.14014014,26.12612613,21.47790791,94.47897898
0.15015015,26.13513514,21.46561562,94.47747748
0.16016016,26.14414414,21.45332332,94.47597598
0.17017017,26.15315315,21.44103103,94.47447447
0.18018018,26.16216216,21.42873874,94.47297297
0.19019019,26.17117117,21.41644645,94.47147147
0.2002002,26.18018018,21.40415415,94.46996997
0.21021021,26.18918919,21.39186186,94.46846847
0.22022022,26.1981982,21.37956957,94.46696697
0.23023023,26.20720721,21.36727728,94.46546547
0.24024024,26.21621622,21.35498498,94.46396396
0.25025025,26.22522523,21.34269269,94.46246246
0.26026026,26.23423423,21.3304004,94.46096096
0.27027027,26.24324324,21.31810811,94.45945946
0.28028028,26.25225225,21.30581582,94.45795796
0.29029029,26.26126126,21.29352352,94.45645646
0.3003003,26.27027027,21.28123123,94.45495495
0.31031031,26.27927928,21.26893894,94.45345345
0.32032032,26.28828829,21.25664665,94.45195195
0.33033033,26.2972973,21.24435435,94.45045045
0.34034034,26.30630631,21.23206206,94.44894895
0.35035035,26.31531532,21.21976977,94.44744745
0.36036036,26.32432432,21.20747748,94.44594595
0.37037037,26.33333333,21.19518519,94.44444444
0.38038038,26.34234234,21.18289289,94.44294294
0.39039039,26.35135135,21.1706006,94.44144144
0.4004004,26.36036036,21.15830831,94.43993994
0.41041041,26.36936937,21.14601602,94.43843844
0.42042042,26.37837838,21.13372372,94.43693694
0.43043043,26.38738739,21.12143143,94.43543544
0.44044044,26.3963964,21.10913914,94.43393393
0.45045045,26.40540541,21.09684685,94.43243243
0.46046046,26.41441441,21.08455455,94.43093093
0.47047047,26.42342342,21.07226226,94.42942943
